"subjectnumber"	"activityname"	"featurename"	"featurevalue"
8	"STANDING"	"fBodyGyro-mean()-Y"	-0.99383842
18	"STANDING"	"tBodyGyroJerkMag-std()"	-0.99134729
2	"LAYING"	"fBodyBodyAccJerkMag-mean()"	-0.99315024
27	"STANDING"	"tBodyGyroJerk-mean()-Y"	-0.037530102
18	"WALKING_UPSTAIRS"	"fBodyAcc-std()-Z"	-0.21646498
15	"WALKING_UPSTAIRS"	"fBodyAcc-std()-Y"	-0.047740417
8	"WALKING"	"fBodyBodyGyroMag-mean()"	-0.34325033
17	"WALKING_UPSTAIRS"	"fBodyAccJerk-mean()-X"	-0.47355773
20	"SITTING"	"tGravityAcc-std()-Z"	-0.99036288
16	"LAYING"	"tBodyAcc-mean()-X"	0.2803122
12	"LAYING"	"tBodyAccMag-std()"	-0.97044589
16	"WALKING_DOWNSTAIRS"	"tBodyAccJerkMag-mean()"	-0.10861744
26	"LAYING"	"tBodyAccJerk-std()-Z"	-0.98944738
8	"STANDING"	"tBodyAcc-std()-Y"	-0.99170781
2	"WALKING_UPSTAIRS"	"tBodyGyroJerk-std()-Z"	-0.40993576
11	"SITTING"	"tBodyAcc-mean()-Y"	-0.009094634
25	"WALKING_DOWNSTAIRS"	"fBodyAccJerk-mean()-Y"	-0.34503706
24	"LAYING"	"tBodyAccMag-std()"	-0.96427817
17	"WALKING"	"fBodyAccMag-std()"	-0.59318037
9	"WALKING_UPSTAIRS"	"fBodyAccJerk-std()-Y"	-0.59175517
6	"STANDING"	"tBodyGyroJerkMag-mean()"	-0.94972625
26	"LAYING"	"fBodyAccJerk-mean()-Y"	-0.99202282
1	"WALKING"	"fBodyBodyGyroMag-mean()"	-0.30796697
12	"SITTING"	"fBodyAcc-std()-Z"	-0.97882839
13	"WALKING_DOWNSTAIRS"	"tBodyAccJerk-std()-X"	0.097132643
1	"LAYING"	"fBodyGyro-mean()-Z"	-0.94710548
10	"WALKING_UPSTAIRS"	"tGravityAcc-mean()-Z"	0.12571407
5	"WALKING"	"fBodyGyro-std()-X"	-0.57347207
8	"WALKING"	"fBodyAcc-mean()-Z"	-0.3465633
12	"WALKING"	"tBodyGyro-mean()-Y"	-0.20026947
18	"LAYING"	"tBodyAccJerkMag-std()"	-0.98804221
9	"SITTING"	"tBodyAcc-mean()-Y"	-0.013879503
25	"STANDING"	"tBodyGyroJerk-mean()-X"	-0.094387119
27	"SITTING"	"tBodyAcc-std()-Y"	-0.98311935
1	"STANDING"	"tBodyAcc-std()-Z"	-0.99173879
1	"SITTING"	"fBodyBodyGyroMag-mean()"	-0.99419889
5	"LAYING"	"fBodyAcc-std()-Y"	-0.98666919
1	"STANDING"	"tBodyAccMag-mean()"	-0.9874657
8	"STANDING"	"tBodyAcc-mean()-Y"	-0.015680183
30	"WALKING"	"fBodyBodyGyroMag-std()"	-0.29695083
24	"STANDING"	"fBodyGyro-mean()-X"	-0.98628241
11	"WALKING_DOWNSTAIRS"	"tBodyGyroJerk-mean()-Y"	0.017019816
13	"WALKING_DOWNSTAIRS"	"fBodyAccJerk-std()-Y"	0.043481874
16	"WALKING_UPSTAIRS"	"tBodyAcc-mean()-X"	0.35308502
23	"STANDING"	"fBodyBodyAccJerkMag-mean()"	-0.99116947
6	"WALKING_DOWNSTAIRS"	"fBodyAcc-mean()-X"	0.33602987
5	"STANDING"	"tBodyGyroJerk-std()-Z"	-0.95759935
13	"WALKING_UPSTAIRS"	"fBodyGyro-std()-Y"	-0.26298447
25	"WALKING_DOWNSTAIRS"	"fBodyAccJerk-mean()-Y"	-0.49398641
5	"WALKING_DOWNSTAIRS"	"fBodyAccJerk-std()-Y"	0.28467177
22	"WALKING_UPSTAIRS"	"tGravityAcc-std()-Y"	-0.94608561
17	"SITTING"	"tBodyGyroJerk-std()-X"	-0.99769604
8	"WALKING_UPSTAIRS"	"tGravityAcc-mean()-Y"	-0.25806332
1	"STANDING"	"tBodyGyroJerk-std()-Y"	-0.99541459
29	"LAYING"	"tGravityAcc-mean()-X"	-0.32121843
28	"SITTING"	"tBodyGyroJerkMag-mean()"	-0.97508771
12	"STANDING"	"tGravityAccMag-std()"	-0.87118402
10	"WALKING_DOWNSTAIRS"	"tBodyGyroJerk-mean()-Z"	-0.55539178
3	"SITTING"	"fBodyAccJerk-mean()-X"	-0.99405919
21	"WALKING_DOWNSTAIRS"	"tBodyGyroJerk-std()-Y"	-0.24771098
10	"WALKING_DOWNSTAIRS"	"tGravityAccMag-std()"	0.17236439
21	"SITTING"	"tBodyGyroJerkMag-std()"	-0.98900692
26	"SITTING"	"fBodyBodyGyroMag-mean()"	-0.99300921
19	"WALKING_UPSTAIRS"	"fBodyGyro-std()-Y"	-0.028495278
21	"STANDING"	"fBodyAcc-std()-X"	-0.99745598
25	"WALKING_DOWNSTAIRS"	"fBodyAcc-std()-X"	-0.11337397
18	"STANDING"	"tBodyGyro-std()-X"	-0.9933866
13	"WALKING_UPSTAIRS"	"tBodyAccMag-mean()"	-0.051774137
23	"STANDING"	"fBodyAccJerk-mean()-X"	-0.99224395
2	"WALKING"	"tBodyAccMag-std()"	-0.42980896
3	"WALKING"	"fBodyAccJerk-std()-Z"	-0.52955543
17	"SITTING"	"tBodyGyroJerk-mean()-Y"	-0.043513059
